ID,Country,Statistics
0,Albania,0.5 %
1,Andorra,0.4 %
2,Austria,0.5 %
3,Belarus,1.3 %
4,Belgium,1.2 %
5,Bosnia and Herzegovina,0 %
6,Bulgaria,1.9 %
7,Croatia,0.4 %
8,Cyprus,0.8 %
9,Czechia,0.7 %
10,Denmark,3.5 %
11,Estonia,4.9 %
12,Faroe Islands,0 %
13,Finland,12.1 %
14,France,1 %
15,Germany,2.1 %
16,Gibraltar,2.9 %
17,Greece,0.4 %
18,Holy See (Vatican City State),0 %
19,Hungary,2.8 %
20,Iceland,3.8 %
21,Ireland,1.5 %
22,Italy,1.1 %
23,Kosovo,0 %
24,Latvia,7 %
25,Liechtenstein,0.5 
